REFTYPE,SESSION_IDENTIFIER,FRAME,WORLDPOSX,WORLDPOSY,WORLDPOSZ
LEFT,18118509207215334066,1167,384.2834167480469,209.0655059814453,2.6726040840148926
LEFT,18118509207215334066,1575,503.2388610839844,-57.42523193359375,3.3301093578338623
LEFT,18118509207215334066,1578,505.1004943847656,-59.31297302246094,3.338165044784546
LEFT,18118509207215334066,1580,507.2638244628906,-61.53134536743164,3.3475329875946045
LEFT,18118509207215334066,1583,510.3458862304688,-64.73004913330078,3.3615715503692627
LEFT,18118509207215334066,1591,517.4028930664062,-72.18035125732422,3.394393920898437
LEFT,18118509207215334066,1599,525.3851318359375,-80.71329498291016,3.419273376464844
LEFT,18118509207215334066,1603,529.7035522460938,-85.33161926269531,3.419853448867798
LEFT,18118509207215334066,1608,533.7382202148438,-89.62754821777344,3.4134726524353027
LEFT,18118509207215334066,1609,534.9843139648438,-90.95130920410156,3.4101383686065674
LEFT,18118509207215334066,1168,384.5343933105469,208.7765655517578,2.673250913619995
LEFT,18118509207215334066,1170,385.1120910644531,208.0941162109375,2.6738195419311523
LEFT,18118509207215334066,1174,385.9188537597656,207.09878540039065,2.6754472255706787
LEFT,18118509207215334066,1424,385.6176452636719,56.11405944824219,2.760239601135254
LEFT,18118509207215334066,1429,388.6018981933594,51.54754257202149,2.779017210006714
LEFT,18118509207215334066,1432,389.9002075195313,49.71210479736328,2.7895681858062744
LEFT,18118509207215334066,1434,390.4675903320313,48.93424606323242,2.7929840087890625
LEFT,18118509207215334066,1443,395.6635437011719,42.39101028442383,2.8217692375183105
LEFT,18118509207215334066,1449,399.7335205078125,37.82530975341797,2.849114894866944
LEFT,18118509207215334066,1377,370.47650146484375,95.78173828125,2.632851839065552
LEFT,18118509207215334066,1381,371.047119140625,92.78841400146484,2.6417717933654785
LEFT,18118509207215334066,1383,371.49267578125,90.69087982177734,2.648325204849243
LEFT,18118509207215334066,1387,372.4289855957031,86.79549407958984,2.6566920280456543
LEFT,18118509207215334066,1391,373.339599609375,83.50515747070312,2.665300130844116
LEFT,18118509207215334066,1396,374.9663391113281,78.45024871826172,2.690582752227783
LEFT,18118509207215334066,1400,376.0491333007813,75.49994659423828,2.705721855163574
LEFT,18118509207215334066,1406,377.46923828125,71.98535919189453,2.721404790878296
LEFT,18118509207215334066,1407,377.9689331054688,70.82464599609375,2.7284321784973145
LEFT,18118509207215334066,1409,378.7445983886719,69.08587646484375,2.741130828857422
LEFT,18118509207215334066,1425,386.2975158691406,55.0255241394043,2.7624549865722656
LEFT,18118509207215334066,6121,127.84263610839844,455.8820495605469,2.9236788749694824
LEFT,18118509207215334066,6122,129.42706298828125,454.3533630371094,2.9219353199005127
LEFT,18118509207215334066,6123,130.99050903320312,452.8411254882813,2.918200969696045
LEFT,18118509207215334066,6124,133.0364990234375,450.8548278808594,2.906928539276123
